Nr,TID,PID,x [pixel],y [pixel],t [sec],I [val],Len [pixel],D2S [pixel],D2R [pixel],D2P [pixel],v [pixel/sec],α [deg],Δα [deg]
1,1,1,154.5,345.5,0,105.1,0,0,NA,NA,NA,NA,NA
2,1,2,154,343.5,0,123.3,2.062,2.062,NA,2.062,NA,-104.036,NA
3,1,3,153.5,342,0,137.3,3.643,3.64,NA,1.581,NA,-108.435,-4.399
4,1,4,152.5,342.5,0,135.8,4.761,3.606,NA,1.118,NA,153.435,-98.13
5,1,5,152,343.5,0,123,5.879,3.202,NA,1.118,NA,116.565,-36.87
6,1,6,152.5,343,0,134.1,6.586,3.202,NA,0.707,NA,-45,-161.565
7,1,7,153.5,343,0,138.9,7.586,2.693,NA,1,NA,0,45
8,1,8,176,340,0,109,30.285,22.192,NA,22.699,NA,-7.595,-7.595
9,1,9,214.5,339.5,0,100.1,68.788,60.299,NA,38.503,NA,-0.744,6.851
10,1,10,257.5,339,0,89.8,111.791,103.205,NA,43.003,NA,-0.666,0.078
11,1,11,291,332.5,0,88.1,145.916,137.118,NA,34.125,NA,-10.981,-10.314
12,1,12,289.5,338,0,95.1,151.617,135.208,NA,5.701,NA,105.255,116.236
13,1,13,287.5,341,0,114.2,155.222,133.076,NA,3.606,NA,123.69,18.435
14,1,14,283.5,342,0,145.1,159.345,129.047,NA,4.123,NA,165.964,42.274
15,1,15,279.5,344,0,124.1,163.818,125.009,NA,4.472,NA,153.435,-12.529
16,1,16,273,344,0,127,170.318,118.509,NA,6.5,NA,180,26.565
17,1,17,268,344.5,0,120.2,175.343,113.504,NA,5.025,NA,174.289,-5.711
18,1,18,259.5,345,0,124,183.857,105.001,NA,8.515,NA,176.634,2.344
19,1,19,251,345,0,120.1,192.357,96.501,NA,8.5,NA,180,3.366
20,1,20,240,344,0,126.3,203.403,85.513,NA,11.045,NA,-174.806,5.194
21,1,21,235.5,342,0,136.8,208.327,81.076,NA,4.924,NA,-156.038,18.768
